parametros_usados,input_dim,units,epoca,acuracia,matriz de confusao
"['age', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,1,200,51.64835453033447,"[[ 0 44]
 [ 0 47]]"
"['age', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,2,50,79.1208803653717,"[[36  8]
 [11 36]]"
"['age', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,2,100,51.64835453033447,"[[ 0 44]
 [ 0 47]]"
"['age', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,2,200,51.64835453033447,"[[ 0 44]
 [ 0 47]]"
"['age', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,5,50,71.42857313156128,"[[26 18]
 [ 8 39]]"
"['age', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,5,100,73.62637519836426,"[[41  3]
 [21 26]]"
"['age', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,5,200,82.41758346557617,"[[30 14]
 [ 2 45]]"
"['age', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,10,50,71.42857313156128,"[[19 25]
 [ 1 46]]"
"['age', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,10,100,76.92307829856873,"[[39  5]
 [16 31]]"
"['age', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,10,200,81.31868243217468,"[[30 14]
 [ 3 44]]"
"['age', 'sex', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,1,50,51.64835453033447,"[[ 0 44]
 [ 0 47]]"
"['age', 'sex', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,1,100,51.64835453033447,"[[ 0 44]
 [ 0 47]]"
"['age', 'sex', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,1,200,50.54945349693298,"[[ 0 44]
 [ 1 46]]"
"['age', 'sex', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,2,50,51.64835453033447,"[[ 0 44]
 [ 0 47]]"
"['age', 'sex', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,2,100,72.52747416496277,"[[29 15]
 [10 37]]"
